head_gyro,head_magneto,head_odometry,head_vision
-0.247517767496516,-1.19199999999999,-0.726036585365854,0
-0.279603404023842,-1.19199999999999,-0.780365853658537,0.0959730000000003
-0.310543124960906,-1.13199999999999,-0.818231707317073,0
-0.340336930307709,-1.13199999999999,-0.846219512195122,0
-0.370130735654512,-1.13199999999999,-0.865975609756097,0
-0.39648679423053,-0.967999999999989,-0.872560975609756,0
-0.419405106035763,-0.967999999999989,-0.872560975609756,0
-0.442323417840996,-0.967999999999989,-0.864329268292683,0
-0.457220320514397,-0.796999999999997,-0.846219512195122,0
-0.464095814055967,-0.796999999999997,-0.83140243902439,0
-0.470971307597537,-0.796999999999997,-0.814939024390244,0
-0.475554969958583,-0.859999999999999,-0.790243902439024,0.0959730000000003
-0.477846801139106,-0.859999999999999,-0.76390243902439,0
-0.48013863231963,-0.859999999999999,-0.735914634146342,0.0959730000000003
-0.481284547909891,-0.876999999999995,-0.706280487804878,0
-0.481284547909891,-0.876999999999995,-0.678292682926829,0
-0.481284547909891,-0.876999999999995,-0.651951219512195,0
-0.475554969958583,-0.146999999999991,-0.625609756097561,0
-0.464095814055967,-0.146999999999991,-0.595975609756098,1.628605
-0.45263665815335,-0.146999999999991,-0.563048780487805,0
-0.432010177528641,-0.515000000000001,-0.54,0
-0.402216372181838,-0.515000000000001,-0.525182926829268,0
-0.372422566835035,-0.515000000000001,-0.507073170731707,0
-0.344920592668755,-0.49799999999999,-0.498841463414634,0
-0.319710449682999,-0.49799999999999,-0.520243902439024,0
-0.294500306697243,-0.49799999999999,-0.572926829268293,0
-0.270436079301748,-1.063,-0.642073170731707,0
-0.247517767496515,-1.063,-0.701341463414634,0
-0.224599455691283,-1.063,-0.729329268292683,0
-0.203972975066573,-0.560000000000002,-0.727682926829268,0.0959730000000003
-0.185638325622387,-0.560000000000002,-0.707926829268293,0
-0.1673036761782,-0.560000000000002,-0.681585365853659,1.628605
-0.148969026734014,-0.36399999999999,-0.655243902439024,-1.633911
-0.130634377289828,-0.36399999999999,-0.633841463414634,0
-0.112299727845641,-0.36399999999999,-0.625609756097561,0
-0.0974028251722398,-0.299999999999997,-0.625609756097561,0
-0.0859436692696233,-0.299999999999997,-0.63219512195122,0
-0.0744845133670069,-0.299999999999997,-0.643719512195122,0
-0.0630253574643904,-0.408999999999992,-0.651951219512195,1.628605
-0.0515662015617739,-0.408999999999992,-0.666768292682927,0
-0.0401070456591575,-0.408999999999992,-0.691463414634146,0
-0.0309397209370643,-0.420000000000002,-0.714512195121951,0
-0.0240642273954944,-0.420000000000002,-0.726036585365854,0
-0.0171887338539245,-0.420000000000002,-0.727682926829268,0
-0.0126050714928779,-0.335999999999999,-0.727682926829268,0
-0.0103132403123546,-0.335999999999999,-0.727682926829268,0.0959730000000003
-0.00802140913183135,-0.335999999999999,-0.727682926829268,0
0.00114591559026182,0.15100000000001,-0.729329268292683,0
0.0171887338539249,0.15100000000001,-0.740853658536585,0
0.0332315521175879,0.15100000000001,-0.76390243902439,0
0.0481284547909893,-0.269999999999996,-0.786951219512195,0
0.0618794418741291,-0.269999999999996,-0.808353658536585,0
0.0744845133670072,-0.186999999999998,-0.833048780487805,0
0.0859436692696237,-0.186999999999998,-0.857743902439024,0
0.0974028251722401,-0.186999999999998,-0.872560975609756,0
0.108861981074857,-0.0869999999999891,-0.869268292682926,0
0.120321136977473,-0.0869999999999891,-0.849512195121951,0.0959730000000003
0.13178029288009,-0.0869999999999891,-0.823170731707317,0
0.143239448782706,-0.00900000000000034,-0.798475609756097,0
0.154698604685322,-0.00900000000000034,-0.777073170731707,0.0959730000000003
