x_odometry,y_odometry,x_vision,y_vision,x_efference,y_efference
0.00159612151025356,0.0414449060237942,0,0.05486405,0.00501348113283521,0.0892405836872814
0.00182970120461274,0.042938256792687,0,0.05829305,0.00511061142732897,0.0909403638009113
0.00211260810541028,0.0444627016847814,0,0.06172205,0.00520774172182273,0.0926401439145412
0.00243509858483092,0.0459945740354095,0,0.06172205,0.00530487201631649,0.0943399240281711
0.00275005294312934,0.0475414110875885,0,0.06515106,0.00540200231081025,0.0960397041418011
0.00302818310617096,0.0491291098890074,0,0.06515106,0.00549913260530401,0.097739484255431
0.00324914540797097,0.0507442988688447,0,0.06858006,0.00559626289979777,0.0994392643690609
0.00341012884101046,0.0523628765889821,0,0.06858006,0.00569339319429153,0.101139044482691
0.00354880844436433,0.053982728813703,-0.0030473,0.07200906,0.00579194702394495,0.102838742055259
0.00370912396015937,0.0556004185865598,-0,0.07543807,0.00589050085359836,0.104538439627828
0.00383835651866487,0.0572344805316184,-0.0030473,0.07886707,0.00601176599377021,0.106236496173741
0.00392450017886167,0.0589107269466478,-0.0030473,0.07886707,0.00610877825048863,0.10793559191726
0.00402163047335543,0.0606105070602777,-0,0.08229608,0.00618165566152896,0.109636411228496
0.0041087126063529,0.0623302401093088,-0,0.08229608,0.00627878595602272,0.111336191342125
0.00418825861822815,0.0640649378598908,-0,0.08572508,0.00637591625051648,0.113035971455755
0.00427172495750503,0.0657703434596627,-0.0030473,0.08572508,0.00647304654501024,0.114735751569385
0.00436449451354777,0.0674269962907333,-0,0.08915408,0.006570176839504,0.116435531683015
0.00443888056730651,0.0690556314755774,-0,0.08915408,0.00669144197967586,0.118133588228928
0.00449201226979109,0.0706707213982359,-0,0.09258308,0.00681270711984771,0.119831644774841
0.00456272825489418,0.0722508936839424,-0,0.09601209,0.00690983741434147,0.121531424888471
0.0046485164822417,0.0738011365665472,-0,0.09601209,0.00700696770883523,0.123231205002101
0.0047368167499633,0.0753463912153017,-0,0.09944109,0.00710409800332899,0.124930985115731
0.0048251170176849,0.0768916458640561,-0,0.10287009,0.00720122829782275,0.126630765229361
0.00491471140827891,0.0784368254754821,-0,0.10287009,0.00729835859231651,0.128330545342991
0.00500124188182559,0.0799773354792036,-0,0.10287009,0.00739691242196992,0.130030242915559
0.00506809473021586,0.0814899028740271,-0,0.1062991,0.00749546625162333,0.131729940488128
0.0051135001592748,0.0829697830149197,-0,0.1097281,0.00759259654611709,0.133429720601758
0.00515780183498722,0.0844303474727028,-0,0.1097281,0.00768972684061085,0.135129500715388
0.00520461555107371,0.0858859236966356,-0,0.1131571,0.00778685713510461,0.136829280829018
0.00524640518641206,0.0873514763882689,-0,0.1131571,0.00788398742959837,0.138529060942647
0.00528819482175041,0.0888170290799023,-0,0.1165861,0.00798111772409213,0.140228841056277
0.00534505669933319,0.090252652368434,-0,0.1165861,0.00807824801858589,0.141928621169907
0.00543175852772382,0.0916720364508313,-0,0.12001511,0.00817537831307965,0.143628401283537
0.00554799577324125,0.0931188009271634,-0,0.12344411,0.00827250860757341,0.145328181397167
0.00567771593753572,0.0945841351907417,-0,0.12344411,0.00836963890206717,0.147027961510797
0.00580492406145611,0.0960544576881703,-0,0.12687311,0.00846819273172059,0.148727659083366
0.0059280883607337,0.0975734966630898,-0,0.13030211,0.008566746561374,0.150427356655934
0.00605953637664638,0.0991646939892924,-0,0.13030211,0.00866387685586776,0.152127136769564
0.00620740773114225,0.100798555037127,-0,0.13373112,0.00876243068552117,0.153826834342133
0.00636838559764554,0.102489842029302,-0,0.13716012,0.00886098451517459,0.155526531914701
0.0065260728015551,0.104244259279764,-0,0.13716012,0.00895811480966835,0.157226312028331
0.00667371184396837,0.106018629465628,-0,0.13716012,0.00905666863932176,0.1589260096009
0.00681680089417212,0.107788453694824,-0,0.14058912,0.00915522246897517,0.160625707173468
0.00694014683239157,0.109530345741812,-0,0.14401813,0.00925235276346893,0.162325487287098
0.00704070052650338,0.111239626314631,-0,0.14401813,0.00934813823318638,0.164025343180489
